scenario_name,task_category,description,source,source_url,region_us,region_cn,region_eu,region_middle_east,region_japan_korea,frequency_signal,required_skills,known_pain_points
邮件自动处理,跨系统自动化,自动读取、分类、起草或发送邮件,待补充,,未知,未知,未知,未知,未知,待调研,,
日历与日程管理,跨系统自动化,创建、调整、提醒日历事件,待补充,,未知,未知,未知,未知,未知,待调研,,
网页信息抓取与汇总,信息获取与处理,定期抓取指定网站内容并整理,待补充,,未知,未知,未知,未知,未知,待调研,,
代码任务辅助,跨系统自动化,执行代码片段、自动化开发流程,待补充,,未知,未知,未知,未知,未知,待调研,,
文件读写与处理,信息获取与处理,读取、生成、整理本地文件,待补充,,未知,未知,未知,未知,未知,待调研,,
销售线索研究,信息获取与处理,收集并整理潜在客户信息,待补充,,未知,未知,未知,未知,未知,待调研,,
CRM 数据录入,跨系统自动化,将信息同步至 CRM 系统,待补充,,未知,未知,未知,未知,未知,待调研,,
消息通知与播报,交互代理,定时或条件触发向消息平台发送通知,待补充,,未知,未知,未知,未知,未知,待调研,,
跨平台数据同步,跨系统自动化,在多个 SaaS 工具间同步数据,待补充,,未知,未知,未知,未知,未知,待调研,,
个人知识库管理,个人知识管理,整合笔记、上下文持久化记忆,待补充,,未知,未知,未知,未知,未知,待调研,,
竞品/市场监控,信息获取与处理,定期采集并汇报市场动态,待补充,,未知,未知,未知,未知,未知,待调研,,
报告与周报生成,决策辅助,汇总数据并生成结构化报告,待补充,,未知,未知,未知,未知,未知,待调研,,
智能家居/设备控制,跨系统自动化,通过 Agent 控制 IoT 设备,待补充,,未知,未知,未知,未知,未知,待调研,,
健康数据追踪,决策辅助,整合 WHOOP 等健康设备数据并分析,待补充,,未知,未知,未知,未知,未知,待调研,,
